driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
37437911,2023-06-24T18:55:44.0,2023-06-24T20:10:11.0,7.127,UCSD / HUBBS HALL 1,1,weekend,18.92,20.16,2.3756666666666666
287581,2023-06-24T19:06:02.0,2023-06-24T21:22:36.0,13.327,UCSD / SOM P602 2,1,weekend,19.11,21.36,4.442333333333333
29192061,2023-06-24T19:29:18.0,2023-06-24T22:38:20.0,13.094,UCSD / OSLER 4-2,1,weekend,19.49,22.63,4.3646666666666665
20546461,2023-06-24T19:35:51.0,2023-06-24T22:04:15.0,14.334,UCSD / CSC 1,2,weekend,19.59,22.06,4.778
2901831,2023-06-24T19:49:14.0,2023-06-24T22:45:17.0,10.931,UCSD / OSLER 3-3,2,weekend,19.82,22.75,3.6436666666666664
794063,2023-06-24T20:46:33.0,2023-06-24T21:21:29.0,1.489,UCSD / ATHENA EV6,1,weekend,20.77,21.35,0.49633333333333335
3587801,2023-06-25T01:15:55.0,2023-06-25T13:14:24.0,5.587,UCSD / MESA NUEVO 3,1,weekend,1.25,13.23,1.8623333333333332
30423931,2023-06-25T04:14:27.0,2023-06-25T08:11:03.0,8.184,UCSD / PANGEA 5-2,2,weekend,4.24,8.18,2.7279999999999998
612049,2023-06-25T05:44:41.0,2023-06-25T09:30:14.0,3.753,UCSD / BACHMAN EV2,1,weekend,5.74,9.5,1.2510000000000001
39925391,2023-06-25T06:20:02.0,2023-06-25T06:39:14.0,1.217,UCSD / OSLER 3-3,1,weekend,6.34,6.65,0.4056666666666667
29383931,2023-06-25T06:40:51.0,2023-06-25T12:34:05.0,32.21,UCSD / NUEVO WEST 1-1,1,weekend,6.67,12.56,10.736666666666666
2034371,2023-06-25T06:52:14.0,2023-06-25T16:11:16.0,7.591,UCSD / NUEVO WEST 2-3,2,weekend,6.87,16.18,2.5303333333333335
24173251,2023-06-25T07:28:46.0,2023-06-25T08:33:19.0,3.153,UCSD / RADY P357 1,2,weekend,7.47,8.55,1.051
32250151,2023-06-25T07:57:02.0,2023-06-25T09:48:16.0,10.323,UCSD / GILMAN 3-1,2,weekend,7.95,9.8,3.4410000000000003
305881,2023-06-25T08:18:59.0,2023-06-25T09:41:16.0,4.875,UCSD / ARBOR PARKING 6,1,weekend,8.31,9.68,1.625
26273851,2023-06-25T08:34:15.0,2023-06-25T11:56:26.0,20.251,UCSD / OSLER 3-3,2,weekend,8.57,11.93,6.750333333333334
35893241,2023-06-25T08:35:17.0,2023-06-25T13:52:18.0,23.691,UCSD / KECK,1,weekend,8.59,13.86,7.896999999999999
3009771,2023-06-25T08:36:04.0,2023-06-25T17:13:02.0,29.576,UCSD / ARBOR PARKING 6,2,weekend,8.6,17.21,9.858666666666666
28780491,2023-06-25T08:46:04.0,2023-06-25T15:42:21.0,42.363,UCSD / OSLER 4-1,2,weekend,8.77,15.7,14.121
25523761,2023-06-25T08:55:59.0,2023-06-25T10:02:22.0,5.515,UCSD / BIRCH AQUARIUM,1,weekend,8.92,10.03,1.8383333333333332
27630421,2023-06-25T09:22:18.0,2023-06-25T12:38:53.0,13.157,UCSD / ATHENA EV2,1,weekend,9.37,12.63,4.385666666666666
19931801,2023-06-25T09:44:33.0,2023-06-25T14:28:05.0,12.733,UCSD / NUEVO WEST 3-3,1,weekend,9.74,14.46,4.2443333333333335
2245391,2023-06-25T09:58:44.0,2023-06-25T17:56:03.0,4.578,UCSD / ECPS WEST,1,weekend,9.97,17.93,1.526
37005441,2023-06-25T10:03:55.0,2023-06-25T11:47:38.0,4.728,UCSD / SIO P001 1,1,weekend,10.06,11.78,1.5759999999999998
34090381,2023-06-25T10:05:38.0,2023-06-25T14:28:19.0,5.388,UCSD / OSLER 3-2,1,weekend,10.09,14.46,1.796
36905611,2023-06-25T10:09:17.0,2023-06-25T12:46:21.0,12.259,UCSD / BIRCH AQUARIUM,2,weekend,10.15,12.76,4.086333333333333
23850911,2023-06-25T10:18:11.0,2023-06-25T13:37:22.0,19.663,UCSD / ECPS EAST,1,weekend,10.3,13.61,6.554333333333333
3972851,2023-06-25T10:23:58.0,2023-06-25T10:50:54.0,2.672,UCSD / SCHOLARS - 02,2,weekend,10.39,10.83,0.8906666666666667
33636811,2023-06-25T10:33:03.0,2023-06-25T22:36:48.0,59.419,UCSD / NUEVO WEST 1-2,2,weekend,10.55,22.6,19.80633333333333
30739311,2023-06-25T10:35:17.0,2023-06-25T18:02:54.0,15.069,UCSD / P610 1,1,weekend,10.59,18.03,5.023000000000001
30423001,2023-06-25T10:41:55.0,2023-06-25T14:05:20.0,10.877,UCSD / ARBOR PARKING 6,1,weekend,10.69,14.08,3.625666666666667
616275,2023-06-25T10:43:47.0,2023-06-25T11:39:20.0,4.972,UCSD / P013,1,weekend,10.72,11.65,1.6573333333333335
23122781,2023-06-25T10:44:47.0,2023-06-25T12:26:18.0,9.711,UCSD / FACULTY CLUB,2,weekend,10.74,12.43,3.237
24722121,2023-06-25T11:01:13.0,2023-06-25T11:39:19.0,1.076,UCSD / MESA NUEVO 5,2,weekend,11.02,11.65,0.3586666666666667
430777,2023-06-25T11:06:45.0,2023-06-25T14:47:18.0,11.268,UCSD / RADY P357 5,2,weekend,11.1,14.78,3.7560000000000002
24171131,2023-06-25T11:26:01.0,2023-06-25T11:51:33.0,1.566,UCSD / GREENWICH 2,2,weekend,11.44,11.85,0.522
4383921,2023-06-25T11:26:02.0,2023-06-25T16:31:21.0,11.677,UCSD / OSLER 3-1,2,weekend,11.44,16.51,3.892333333333333
38388921,2023-06-25T11:29:02.0,2023-06-25T14:01:43.0,7.788,UCSD / GREENWICH 1,2,weekend,11.49,14.01,2.596
860822,2023-06-25T11:44:16.0,2023-06-25T14:20:19.0,15.411,UCSD / RADY P357 1,1,weekend,11.74,14.33,5.137
1058491,2023-06-25T11:46:15.0,2023-06-25T12:17:22.0,2.519,UCSD / OSLER 2-1,1,weekend,11.77,12.28,0.8396666666666667
35865571,2023-06-25T11:48:48.0,2023-06-25T15:24:05.0,6.137,UCSD / RADY P357 2,2,weekend,11.8,15.4,2.0456666666666665
691445,2023-06-25T11:49:36.0,2023-06-25T14:54:46.0,3.42,UCSD / ATHENA EV5,1,weekend,11.82,14.9,1.14
36023451,2023-06-25T11:53:32.0,2023-06-25T13:04:19.0,4.101,UCSD / BIRCH AQUARIUM,1,weekend,11.89,13.06,1.367
28186781,2023-06-25T12:11:02.0,2023-06-25T13:55:40.0,5.602,UCSD / SCHOLARS - 13,1,weekend,12.19,13.91,1.8673333333333335
24722121,2023-06-25T12:24:54.0,2023-06-25T14:49:55.0,2.936,UCSD / MESA NUEVO 5,2,weekend,12.4,14.81,0.9786666666666667
4575851,2023-06-25T12:34:36.0,2023-06-25T15:21:15.0,9.83,UCSD / NUEVO WEST 3-4,2,weekend,12.57,15.35,3.276666666666667
764147,2023-06-25T12:46:38.0,2023-06-25T13:09:23.0,1.504,UCSD / GILMAN 2-2,2,weekend,12.77,13.15,0.5013333333333333
2585491,2023-06-25T12:51:15.0,2023-06-25T13:43:31.0,2.846,UCSD / HUBBS HALL 2,2,weekend,12.85,13.71,0.9486666666666667
35744341,2023-06-25T12:58:01.0,2023-06-25T18:12:32.0,29.769,UCSD / OSLER 2-2,1,weekend,12.97,18.2,9.923
23987371,2023-06-25T13:11:16.0,2023-06-25T15:17:52.0,12.583,UCSD / SCHOLARS - 07,1,weekend,13.19,15.28,4.194333333333334
37186031,2023-06-25T13:19:05.0,2023-06-25T15:17:19.0,7.639,UCSD / ARBOR PARKING 2,2,weekend,13.32,15.28,2.5463333333333336
20558511,2023-06-25T13:28:11.0,2023-06-25T16:47:34.0,20.082,UCSD / NUEVO WEST 3-2,1,weekend,13.47,16.78,6.694
1723741,2023-06-25T13:36:33.0,2023-06-25T16:43:21.0,17.492,UCSD / OSLER 3-2,2,weekend,13.6,16.71,5.830666666666667
3090841,2023-06-25T13:40:00.0,2023-06-25T16:02:18.0,10.485,UCSD / GREENWICH 2,1,weekend,13.67,16.03,3.4949999999999997
33619651,2023-06-25T13:45:02.0,2023-06-25T16:46:39.0,13.828,UCSD / SCHOLARS - 14,2,weekend,13.75,16.76,4.609333333333333
2606311,2023-06-25T13:47:18.0,2023-06-25T16:00:19.0,10.439,UCSD / BIRCH AQUARIUM,1,weekend,13.79,16.0,3.4796666666666667
27423861,2023-06-25T13:49:00.0,2023-06-25T18:29:13.0,13.485,UCSD / SIO P001 2,1,weekend,13.82,18.48,4.495
35796271,2023-06-25T14:08:15.0,2023-06-25T22:56:21.0,32.681,UCSD / BACHMAN EV2,1,weekend,14.14,22.93,10.893666666666666
39939311,2023-06-25T14:08:37.0,2023-06-25T22:20:54.0,38.529,UCSD / ATHENA EV1,1,weekend,14.14,22.33,12.843000000000002
35492091,2023-06-25T14:19:38.0,2023-06-25T21:32:24.0,42.443,UCSD / GILMAN 3-1,1,weekend,14.32,21.53,14.147666666666666
37199141,2023-06-25T14:26:41.0,2023-06-25T18:59:23.0,12.859,UCSD / OSLER 2-1,1,weekend,14.44,18.98,4.286333333333333
27639511,2023-06-25T14:39:21.0,2023-06-25T18:08:40.0,19.928,UCSD / NUEVO WEST 1-3,1,weekend,14.65,18.13,6.642666666666667
22749391,2023-06-25T14:50:41.0,2023-06-25T15:34:20.0,3.662,UCSD / OSLER 4-4,2,weekend,14.84,15.56,1.2206666666666666
39879321,2023-06-25T14:58:21.0,2023-06-25T23:35:00.0,19.721,UCSD / BACHMAN EV2,2,weekend,14.97,23.58,6.573666666666667
4334871,2023-06-25T14:58:30.0,2023-06-25T15:53:22.0,4.927,UCSD / GILMAN 2-2,2,weekend,14.97,15.88,1.6423333333333332
25400561,2023-06-25T14:59:03.0,2023-06-25T18:56:36.0,4.908,UCSD / NUEVO WEST 3-3,2,weekend,14.99,18.93,1.6360000000000001
29328831,2023-06-25T15:07:22.0,2023-06-25T16:12:36.0,6.064,UCSD / P610 2,2,weekend,15.12,16.2,2.021333333333333
36203831,2023-06-25T15:14:11.0,2023-06-25T15:57:43.0,4.252,UCSD / MESA NUEVO 5,1,weekend,15.24,15.95,1.4173333333333333
693759,2023-06-25T15:24:15.0,2023-06-25T20:38:25.0,5.47,UCSD / ARBOR PARKING 6,1,weekend,15.4,20.63,1.8233333333333333
501597,2023-06-25T15:31:33.0,2023-06-25T18:42:19.0,18.419,UCSD / KECK,2,weekend,15.52,18.7,6.139666666666667
20164061,2023-06-25T15:33:31.0,2023-06-25T18:05:09.0,5.622,UCSD / SOM P602 1,2,weekend,15.55,18.08,1.8739999999999999
32289671,2023-06-25T15:44:38.0,2023-06-25T20:36:39.0,2.601,UCSD / UCSD MIRAMAR S1,2,weekend,15.74,20.6,0.867
1066451,2023-06-25T15:47:09.0,2023-06-25T19:11:12.0,10.894,UCSD / TORREYPINES C1,1,weekend,15.79,19.18,3.6313333333333335
26975341,2023-06-25T15:53:55.0,2023-06-25T16:56:18.0,3.026,UCSD / RADY P357 5,2,weekend,15.89,16.93,1.0086666666666666
38787321,2023-06-25T15:58:22.0,2023-06-25T18:14:43.0,13.277,UCSD / RADY P357 2,1,weekend,15.97,18.23,4.425666666666666
24722121,2023-06-25T16:08:03.0,2023-06-25T18:36:41.0,5.557,UCSD / MESA NUEVO 5,1,weekend,16.14,18.6,1.8523333333333334
3972851,2023-06-25T16:09:03.0,2023-06-25T16:55:14.0,4.534,UCSD / SCHOLARS - 01,1,weekend,16.15,16.91,1.5113333333333332
19776061,2023-06-25T16:12:56.0,2023-06-25T17:44:32.0,8.123,UCSD / SIO P001 1,2,weekend,16.2,17.73,2.7076666666666664
30562621,2023-06-25T16:17:10.0,2023-06-25T17:55:25.0,9.411,UCSD / P013,2,weekend,16.29,17.91,3.137
1601431,2023-06-25T17:29:36.0,2023-06-25T18:16:25.0,4.178,UCSD / OSLER 4-2,2,weekend,17.49,18.26,1.3926666666666667
26039711,2023-06-25T17:50:09.0,2023-06-25T18:53:29.0,5.501,UCSD / ECPS EAST,2,weekend,17.84,18.88,1.8336666666666668
38913431,2023-06-25T19:09:09.0,2023-06-25T20:28:22.0,7.002,UCSD / BIRCH AQUARIUM,2,weekend,19.15,20.46,2.334
2541371,2023-06-25T19:33:03.0,2023-06-25T21:52:33.0,5.53,UCSD / OSLER 4-2,1,weekend,19.55,21.86,1.8433333333333335
32896901,2023-06-25T22:03:15.0,2023-06-25T23:50:18.0,8.239,UCSD / GILMAN 3-1,2,weekend,22.05,23.83,2.7463333333333337
2541371,2023-06-25T22:16:49.0,2023-06-25T23:40:25.0,1.61,UCSD / OSLER 4-2,1,weekend,22.27,23.66,0.5366666666666667
33167371,2023-06-25T22:26:27.0,2023-06-25T23:50:24.0,8.422,UCSD / P610 3,1,weekend,22.44,23.83,2.8073333333333337
